First Name,Last Name,Birth Year,Active?,Current Team,Current League
Tim,Abromaitis,,,,
Pablo,Almazán,,,,
Francis,Alonso,,,,
Chase,Audige,,,,
James,Augustine,,,,
Aleksa,Avramović,,,,
Olek,Balcerowski,,,,
Jonathan,Barreiro,,,,
Kaspars,Berzins,,,,
Roderick,Blakney,,,,
Ryan,Boatright,,,,
Axel,Bouteille,,,,
JR,Bremer,,,,
Darío,Brizuela,,,,
Jeff,Brooks,,,,
Earl,Calloway,,,,
Nik,Caner-Medley,,,,
Tyson,Carter,,,,
Xavier,Castañeda,,,,
Justin,Cobbs,,,,
William,Coley,,,,
Omar,Cook,,,,
Jack,Cooley,,,,
Tremmell,Darden,,,,
Guillermo,del Pino,,,,
Troy,DeVries,,,,
Alberto,Díaz,,,,
Dani,Díez,,,,
Ilimane,Diop,,,,
Juan,Dixon,,,,
Nihad,Djedović,,,,
Zabian,Dowdell,,,,
Zoran,Dragić,,,,
Ron,Draper,,,,
Chris,Duarte,,,,
Melvin,Ejim,,,,
Pavel,Ermolinski,,,,
Christian,Eyenga,,,,
Vitor,Faverani,,,,
Jaime,Fernández,,,,
Gerald,Fitch,,,,
Kyle,Fogg,,,,
Joel,Freeland,,,,
Rafa,Freire,,,,
Volodymyr,Gerun,,,,
Jayson,Granger,,,,
Caleb,Green,,,,
Rubén,Guerrero,,,,
Marcus,Haislip,,,,
Edwin,Jackson,,,,
Tyler,Kalinoski,,,,
David,Kravish,,,,
Mindaugas,Kuzminskas,,,,
Mathias,Lessort,,,,
Augusto,Lima,,,,
Stefan,Marković,,,,
Gal,Mekel,,,,
Dragan,Milosavljević,,,,
Matt,Mooney,,,,
Gary,Neal,,,,
Nemanja,Nedović,,,,
Yannick,Nzosa,,,,
Viny,Okouo,,,,
Alen,Omić,,,,
Dylan,Osetkowski,,,,
Andy,Panko,,,,
Tyson,Pérez,,,,
Kendrick,Perry,,,,
Florent,Pietrus,,,,
Pepe,Pozas,,,,
Giorgos,Printezis,,,,
Augustin,Rubit,,,,
Domas,Sabonis,,,,
Sasu,Salin,,,,
Giorgi,Shermadini,,,,
Yankuba,Sima,,,,
Krunoslav,Simon,,,,
Kostas,Vasileiadis,,,,
Adam,Waczyński,,,,
James,Webb III,,,,
Kyle,Wiltjer,,,,
Luka,Žorić,,,,